"name","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks",".","X250K1_pos","CMD.CTRL.GP1_Brain_pos","CMD.CTRL.GP1_Gastroc_pos","CMD.CTRL.GP1_Heart_pos","CMD.CTRL.GP1_Kidney_pos","CMD.CTRL.GP1_Liver_pos","CMD.CTRL.GP1_Pancreas_pos","CMD.CTRL.GP1_Quad_pos","CMD.CTRL.GP1_Spleen_pos","CMD.GP2_Brain_pos","CMD.GP2_Gastroc_pos","CMD.GP2_Heart_pos","CMD.GP2_Kidney_pos","CMD.GP2_Liver_pos","CMD.GP2_Pancreas_pos","CMD.GP2_Quad_pos","CMD.GP2_Spleen_pos","CMD.GP3_Brain_pos","CMD.GP3_Gastroc_pos","CMD.GP3_Heart_pos","CMD.GP3_Kidney_pos","CMD.GP3_Liver_pos","CMD.GP3_Pancreas_pos","CMD.GP3_Quad_pos","CMD.GP3_Spleen_pos","QC.250K2_pos","QC.Blank2_pos","QC.Pool1_pos","QC.Pool2_pos"
"M70T620",70.06503428942,70.0649738196025,70.0650629886401,620.318,598.613,622.652,33,29,575049264.911374,35396173.5616672,87636302.6011362,34422878.6553732,73265888.8398871,53346435.8816436,144610831.556444,59752523.6115585,78801944.9623437,99899099.4823363,116478430.39502,80221788.4782746,119242224.78195,165091867.323749,216449691.903655,107090988.513462,136874705.104899,39022961.5304204,83608302.06014,70927891.4852252,61505307.8101877,59513456.9254652,184421220.083265,76837899.2448996,92221684.7370754,520048237.969541,2953008.33835062,44436622.7852155,142044345.591033
"M70T729",70.0650356381444,70.0646713224152,70.0650835929486,728.868,710.047,744.736,27,24,4005543.31040431,NA,3550817.87930274,5761647.7529297,1325809.14694335,3005988.49137151,5776480.04356645,3039831.61796954,1561518.31106467,NA,4363295.22658854,6011781.26294646,2624386.12633887,5411575.75042535,11002496.6635125,4487778.92530196,2512764.29380697,NA,2961176.67201562,1124889.47797461,NA,2158695.73813736,7661063.07624127,3645135.43596974,1929304.18003204,NA,910850.073922036,2831951.12441167,4344068.15396091
"M71T621",71.0683931182497,71.0683385708441,71.0684652856033,620.633,618.002,622.652,28,28,42301415.0616875,4163246.99574317,6401715.42826703,2930425.72140236,5934475.6218652,4528221.83164822,17515288.349,4757235.90211952,7077925.81158906,13887428.236234,8686692.9885657,6475821.12744137,9100940.72549923,13364810.3599999,20622543.0781757,7996432.03099647,11468773.3859453,6919221.20901837,6683786.50085152,5947630.3647578,4757222.32124025,5325984.13352212,24329756.9213092,6042884.14436638,8434433.51265765,37472385.0239486,NA,3914485.20244012,10751155.6530512
"M71T710",71.0720633691683,71.0683951980024,71.0723259872833,710.421,704.48,718.285,17,17,2769657.23613281,2061447.00873481,NA,NA,12024319.1085851,1215695.92470996,4375557.90481163,NA,3202128.11169434,3455501.70079611,NA,NA,11148876.7573555,NA,6038226.9738885,NA,2980551.04945315,2166399.20136981,NA,10442992.5170332,9882653.79774389,NA,6531172.66722655,NA,5281351.24407383,2964323.8495078,NA,NA,235077.349178571
"M72T681",72.0551064653581,72.0549469770479,72.0551961525754,681.2085,678.752,684.673,20,19,1936382.33851563,1754044.48510155,5608560.42518487,4858544.63009297,1828283.1203,NA,3039095.52615235,4131649.85463436,NA,5608918.97521873,4969451.09525428,4321594.51131874,NA,941702.604301425,NA,6074488.119375,1684253.89789999,4315563.01822917,4699358.39812571,NA,2046553.70624512,1097478.37483105,NA,4468838.63652734,NA,3099224.57103983,NA,NA,NA
"M72T621",72.0717483389648,72.0716824137568,72.0718035038446,621.162,618.002,636.464,18,17,NA,1021925.4516667,243654.14865,NA,461925.939346353,NA,5715024.65509721,NA,894468.132291674,4489449.4344454,366614.496997615,NA,NA,785165.564772565,4592062.85484021,218290.194322265,909283.239766597,2735043.55683907,NA,516805.280881056,NA,788279.758500541,9913800.80529379,NA,1636474.31681815,NA,NA,247635.174780472,NA
"M72T593",72.0806776589488,72.0806330951462,72.0807077610602,592.519,590.548,596.025,28,28,252322873.36025,27417078.4470624,95563618.484625,37097160.7810826,77590213.9513292,87693243.9783182,37052888.0052937,74087482.9458749,91725409.818056,75555709.3463628,128033494.446925,79950951.0097146,128465112.297,168212758.874005,278971221.310526,122558114.692125,137478841.347223,34429216.7987587,99174114.3014103,105041496.604275,93392921.5198498,77919904.3299277,193435973.409649,99657796.4705125,101046513.418681,211109421.79155,NA,72371075.5665822,149714664.221153
"M73T593",73.0840240246957,73.0839558257004,73.0840687359857,592.57,590.548,594.642,27,27,12385445.8908925,1406686.20059943,4360597.65009765,NA,4088037.63434657,4293200.46869997,1557879.34828905,3018045.41479687,4175513.19843748,3749234.82648751,5166887.83595079,4185427.49457388,5914880.49779294,7785780.21919331,12865250.1843576,5234488.78539735,6568734.39487849,1584374.75375001,5403501.79835469,5351854.49486016,4229153.61871876,3935506.45192607,9144234.97918122,4764276.29884115,4889845.19101702,9740377.58482032,NA,3508504.18126561,6950681.92158507
"M74T600",74.0235566721306,74.0234598909423,74.0235941707471,599.512,581.778,615.237,26,22,9572148.59523873,10037308.4534625,NA,12889277.675086,17241824.6541375,4190944.77227086,5841103.38150908,NA,30123185.1007499,28582304.1839001,NA,3454769.92568187,13243042.4366702,3591711.10425346,4898225.3238379,NA,28264734.6379404,13547189.3555966,NA,14642321.2849063,12928354.5642265,3984649.72930205,4617304.35207682,NA,26763537.0809359,7095024.73832579,NA,3045863.78101952,2772673.16467969
"M74T664",74.0599526709821,74.0599096674226,74.0599796692808,663.7125,660.431,667.663,28,28,50928368.3018249,13714238.3899701,17441701.4019294,26944452.1752875,30038515.1262003,17571324.0422756,25144153.0500345,15386916.8847917,28069055.64225,63657063.9045835,24499283.1693603,31911270.1936359,32568363.695625,17559275.5032744,54701112.191475,22316185.5455001,36556851.091328,29544880.7089722,31662571.1574751,45052246.1383333,38809905.8689806,20192188.3182713,83458539.1017707,29738589.8638376,46594290.8549167,48995831.0130209,NA,12289510.2583301,17353150.3958463
